client_id,age_group,client_tier,preferred_channel,acquisition_channel,boutique_id,boutique_name,boutique_city,region,boutique_format,boutique_sales_tier,boutique_clienteling_maturity,boutique_wfj_focus_flag,boutique_digital_adoption_score,advisor_id,advisor_tenure_years,advisor_client_book_size,advisor_productivity_tier,primary_division,primary_category,secondary_category_interest,cross_category_flag,strategic_division_opportunity,last_purchase_days,purchase_frequency_12m,transaction_count_12m,total_units_12m,atv,upt,total_spend_12m,lifetime_spend,average_order_value,categories_purchased,relationship_tenure_years,high_value_client_flag,client_value_score,online_visits_90d,product_page_views_90d,fashion_page_views_90d,beauty_page_views_90d,wfj_page_views_90d,wishlist_additions_90d,high_intent_browsing_flag,app_engagement_score,last_campaign_type,campaign_sent_30d,campaign_open_30d,campaign_click_30d,campaign_conversion_30d,days_since_last_campaign,digital_campaign_click_rate,appointment_scheduled_flag,appointment_completed_flag,appointment_conversion_flag,days_since_last_appointment,appointment_count_12m,boutique_visits_12m,email_open_rate,email_opt_in_flag,sms_opt_in_flag,client_contactable_flag,preferred_contact_method,service_interaction_12m,return_or_exchange_12m,estimated_return_rate,client_satisfaction_score,service_recovery_flag,clienteling_touchpoints_90d,event_attendance_12m,advisor_follow_up_flag,repeat_purchase_probability_true,repeat_purchase_90d,estimated_clienteling_revenue
C000011,18-24,New,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,2,220,High Performer,Fragrance & Beauty,Makeup,Handbags,1,Scale Opportunity,186,3,3,6,169.51,2.0,508.53,643.44,169.51,1,0,0,4.32,14,28,0,14,1,1,0,10.3,No Recent Campaign,0,0,0,1,999,0.356,0,0,0,999,0,3,0.212,1,0,1,Email,0,0,0.0,62.7,1,1,0,0,0.2896,0,31.91
C000012,65+,High Potential,Online,Boutique Walk-In,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Ready-to-Wear,None,0,Medium Strategic Value,28,1,1,1,6392.49,1.0,6392.49,19715.77,6392.49,1,4,0,6.45,6,24,9,6,2,2,1,62.4,WFJ Appointment Invite,1,1,1,0,2,0.192,0,0,0,999,1,2,0.304,1,0,1,Email,0,0,0.0,78.7,0,2,0,0,0.7023,0,4489.42
C000013,55-64,Core,Omnichannel,Email Campaign,B009,Washington DC Boutique,Washington DC,Northeast,Mixed Boutique,Tier 3,Emerging,0,66,B009_A04,6,238,Core,Fashion,Shoes,None,0,Medium Strategic Value,145,3,3,3,4316.39,1.0,12949.17,34199.89,4316.39,3,0,0,6.02,7,14,8,1,2,5,1,49.8,Reactivation,1,1,0,0,14,0.262,1,1,0,15,1,3,0.656,1,0,1,Email,1,0,0.0,84.5,0,1,0,0,0.6873,0,2966.51
C000014,25-34,Core,Boutique,Online Search,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A10,5,185,Core,Fashion,Handbags,Accessories,1,Medium Strategic Value,219,2,2,3,3942.84,1.5,7885.68,22709.15,3942.84,2,4,0,7.05,1,7,5,7,2,0,0,50.8,Reactivation,1,0,0,0,26,0.183,0,0,0,999,0,2,0.316,1,1,1,Email + SMS,0,0,0.0,91.2,0,1,0,0,0.2103,0,829.19
C000015,25-34,New,Online,Referral,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A03,1,234,Core,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,358,1,1,1,2317.07,1.0,2317.07,2430.57,2317.07,1,0,0,5.17,7,42,11,5,5,1,0,58.5,No Recent Campaign,0,0,0,0,999,0.444,0,0,0,999,0,0,0.509,0,0,0,Do Not Contact,0,0,0.0,79.1,0,0,1,0,0.0448,0,25.95
C000016,25-34,New,Boutique,Referral,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A02,0,194,High Performer,Watches & Fine Jewelry,Watches,None,0,High Strategic Value,270,0,0,0,0.0,0.0,0.0,74.04,4913.44,1,1,0,1.71,0,0,2,4,10,0,1,12.0,Welcome Journey,1,0,0,0,27,0.266,0,0,0,999,0,2,0.53,1,1,1,Email + SMS,1,0,0.0,92.4,0,0,0,0,0.0303,0,149.11
C000017,25-34,New,Boutique,Social Media,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A06,1,147,High Performer,Fragrance & Beauty,Makeup,Fashion Entry,1,Scale Opportunity,98,1,1,2,417.36,2.0,417.36,417.36,417.36,3,0,0,4.12,4,28,5,10,3,1,0,17.6,WFJ Appointment Invite,1,0,0,0,14,0.388,0,0,0,999,2,2,0.301,1,1,1,Email + SMS,0,0,0.0,74.9,0,1,0,0,0.3977,1,165.98
C000018,35-44,Core,Boutique,Event,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A03,3,216,High Performer,Watches & Fine Jewelry,Watches,Fashion Styling,1,High Strategic Value,234,3,3,5,14499.0,1.67,43497.0,116747.97,14499.0,2,3,1,9.85,3,15,1,6,7,0,0,49.0,Beauty Replenishment,1,0,0,0,5,0.248,0,0,0,999,1,1,0.364,0,1,1,SMS,2,0,0.0,90.5,0,4,0,0,0.3929,0,5697.27
C000019,35-44,Core,Boutique,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A07,1,123,Core,Fragrance & Beauty,Makeup,Skincare,1,Scale Opportunity,49,0,0,0,0.0,0.0,0.0,51.01,761.34,2,1,0,2.08,2,6,2,13,4,0,0,67.5,No Recent Campaign,0,0,0,0,999,0.447,0,0,0,999,0,4,0.173,1,1,1,Email + SMS,1,0,0.0,95.7,0,0,0,0,0.2735,0,208.24
C000020,25-34,High Potential,Boutique,Event,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A12,3,151,Core,Fashion,Small Leather Goods,Fine Jewelry Interest,1,Medium Strategic Value,34,3,3,5,11879.73,1.67,35639.19,126289.28,11879.73,4,2,1,9.63,2,14,11,4,4,0,0,75.7,Fragrance Launch,1,0,0,0,4,0.133,0,0,0,999,1,3,0.497,1,1,1,Email + SMS,3,0,0.0,93.6,0,5,0,0,0.895,1,10632.61
C000021,45-54,High Potential,Boutique,Boutique Walk-In,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A13,4,211,Core,Fashion,Handbags,None,0,Medium Strategic Value,89,2,2,3,6326.37,1.5,12652.74,44691.65,6326.37,2,1,0,6.31,2,12,16,7,1,1,0,25.2,Reactivation,1,0,0,1,13,0.364,0,0,0,999,4,8,0.356,1,0,1,Email,1,0,0.0,78.5,0,4,0,1,0.8087,1,5116.0
C000022,25-34,Core,Boutique,Referral,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A15,0,255,High Performer,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,85,2,2,3,3318.51,1.5,6637.02,17116.14,3318.51,1,3,0,6.71,4,8,16,6,3,1,0,53.8,Reactivation,1,0,0,0,3,0.11,0,0,0,999,0,2,0.124,1,1,1,Email + SMS,2,0,0.0,87.5,0,1,0,0,0.4875,0,1617.62
C000023,25-34,VIP,Omnichannel,Boutique Walk-In,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A12,3,203,High Performer,Fashion,Shoes,Fine Jewelry Interest,1,Medium Strategic Value,93,5,5,7,16095.37,1.4,80476.85,441592.57,16095.37,2,8,1,11.47,12,36,19,6,4,4,1,5.3,No Recent Campaign,0,0,0,0,999,0.385,0,0,0,999,4,12,0.35,1,0,1,Email,1,0,0.0,88.0,0,6,1,1,0.9866,1,15879.57
C000024,35-44,High Potential,Boutique,Referral,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A14,7,132,Core,Fragrance & Beauty,Skincare,Skincare,1,Scale Opportunity,99,3,3,7,490.14,2.33,1470.42,4860.35,490.14,1,2,0,5.69,4,24,7,17,3,0,0,7.8,Fragrance Launch,1,0,0,0,18,0.244,0,0,0,999,0,0,0.363,0,1,1,SMS,2,0,0.0,80.3,0,4,0,1,0.529,1,259.31
C000025,35-44,VIP,Online,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A03,5,158,High Performer,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,74,11,11,18,872.45,1.64,9596.95,52499.44,872.45,4,5,1,9.6,7,28,5,11,1,0,0,38.9,Fashion Preview,1,1,0,0,30,0.527,0,0,0,999,2,1,0.722,1,0,1,Email,1,0,0.0,79.3,0,5,1,0,0.9852,1,859.52
C000026,45-54,Core,Boutique,Referral,B008,Boston Boutique,Boston,Northeast,Fragrance & Beauty Boutique,Tier 3,Emerging,0,68,B008_A02,3,206,Top Performer,Fragrance & Beauty,Fragrance,Fine Jewelry Interest,1,Scale Opportunity,131,2,2,4,194.05,2.0,388.1,965.48,194.05,1,1,0,4.6,5,25,0,17,4,0,0,23.0,Reactivation,1,1,0,0,23,0.147,0,0,0,999,0,2,0.423,1,1,1,Email + SMS,0,0,0.0,78.2,0,1,0,1,0.3609,0,70.03
C000027,25-34,New,Omnichannel,Online Search,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A03,3,136,Core,Fashion,Ready-to-Wear,Fragrance Discovery,1,Medium Strategic Value,172,1,1,1,1146.58,1.0,1146.58,1146.58,1146.58,1,0,0,4.73,10,30,7,8,0,0,0,55.1,Beauty Replenishment,1,0,0,0,30,0.153,0,0,0,999,0,4,0.154,0,0,0,Do Not Contact,0,0,0.0,89.6,0,1,0,0,0.2444,0,70.06
C000028,35-44,New,Omnichannel,Event,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A14,1,202,Emerging,Fashion,Accessories,Accessories,1,Medium Strategic Value,76,0,0,0,0.0,0.0,0.0,0.0,5092.5,1,0,0,0.5,14,28,14,3,1,2,1,27.8,Fragrance Launch,1,0,0,0,11,0.249,1,0,0,22,0,4,0.21,0,0,0,Do Not Contact,1,0,0.0,80.5,0,0,0,0,0.2683,1,341.6
C000029,35-44,High Potential,Online,Social Media,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A04,8,161,Core,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,26,4,4,5,6363.86,1.25,25455.44,88779.66,6363.86,1,2,1,9.42,6,12,10,2,9,2,1,54.8,Fragrance Launch,1,0,0,0,29,0.273,0,0,0,999,0,0,0.548,1,0,1,Email,1,1,0.25,73.0,1,2,0,0,0.7564,1,3128.84
C000030,18-24,New,Online,Online Search,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,2,101,Emerging,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,152,1,1,2,1528.03,2.0,1528.03,1528.03,1528.03,2,0,0,4.9,4,12,5,0,2,2,1,22.8,Fashion Preview,1,0,0,0,29,0.159,0,0,0,999,0,0,0.188,1,0,1,Email,2,0,0.0,81.4,0,0,0,0,0.194,0,296.5
C000031,45-54,Core,Boutique,Event,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A01,2,82,Core,Fragrance & Beauty,Skincare,Skincare,1,Scale Opportunity,214,3,3,6,322.94,2.0,968.82,2490.31,322.94,2,2,0,5.36,4,28,2,13,2,0,0,42.4,Fashion Preview,1,0,0,0,24,0.256,0,0,0,999,0,3,0.677,1,0,1,Email,0,0,0.0,96.6,0,2,0,0,0.297,0,95.93
C000032,25-34,Core,Omnichannel,Email Campaign,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A06,0,113,Core,Fashion,Shoes,Fragrance Discovery,1,Medium Strategic Value,100,0,0,0,0.0,0.0,0.0,58.95,3571.91,3,4,0,2.73,8,32,13,12,0,3,1,78.3,Fashion Preview,1,0,0,0,26,0.37,0,0,0,999,1,2,0.392,0,1,1,SMS,0,0,0.0,79.5,0,4,0,0,0.5208,1,1860.28
C000033,18-24,Core,Omnichannel,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A02,4,206,High Performer,Fragrance & Beauty,Skincare,None,0,Scale Opportunity,43,2,2,5,418.55,2.5,837.1,1981.64,418.55,1,1,0,4.54,12,36,5,9,5,6,1,47.5,WFJ Appointment Invite,1,0,0,0,17,0.531,0,0,0,999,0,1,0.108,1,1,1,Email + SMS,3,0,0.0,81.0,0,1,0,1,0.7217,0,302.07
C000034,65+,Core,Online,Email Campaign,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Beauty Services,Skincare,1,Scale Opportunity,106,7,7,15,270.63,2.14,1894.41,4792.53,270.63,2,5,0,6.35,17,34,0,9,2,2,1,18.6,Beauty Replenishment,1,1,0,0,20,0.134,0,0,0,999,0,0,0.249,1,1,1,Email + SMS,0,0,0.0,80.7,0,2,0,1,0.8042,1,217.65
C000035,65+,New,Online,Social Media,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fashion,Small Leather Goods,None,0,Medium Strategic Value,112,0,0,0,0.0,0.0,0.0,90.92,2558.47,3,0,0,1.58,8,56,10,1,1,2,1,66.7,Welcome Journey,1,0,0,0,1,0.435,1,1,1,173,0,0,0.136,1,0,1,Email,0,0,0.0,83.5,0,0,0,0,0.1664,0,425.81
C000036,55-64,Core,Boutique,Referral,B008,Boston Boutique,Boston,Northeast,Fragrance & Beauty Boutique,Tier 3,Emerging,0,68,B008_A15,6,201,Core,Fragrance & Beauty,Skincare,Handbags,1,Scale Opportunity,184,5,5,10,198.31,2.0,991.55,2278.51,198.31,2,2,0,5.33,3,18,5,12,3,1,0,26.1,Welcome Journey,1,1,0,0,4,0.128,0,1,1,999,3,2,0.438,0,0,0,Do Not Contact,1,0,0.0,97.9,0,1,0,0,0.5312,0,26.34
C000037,25-34,Core,Omnichannel,Online Search,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A03,4,151,High Performer,Fragrance & Beauty,Fragrance,None,0,Scale Opportunity,91,2,2,4,269.78,2.0,539.56,1169.42,269.78,1,0,0,4.05,15,105,3,15,0,3,1,64.9,No Recent Campaign,0,0,0,0,999,0.153,1,1,0,73,0,1,0.456,1,0,1,Email,1,0,0.0,88.7,0,2,0,0,0.6391,1,172.43
C000038,25-34,VIP,Boutique,Online Search,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A08,5,166,Core,Fashion,Ready-to-Wear,Fragrance Discovery,1,Medium Strategic Value,4,3,3,5,11093.45,1.67,33280.35,176777.57,11093.45,3,7,1,10.73,3,15,9,7,1,0,0,39.1,WFJ Appointment Invite,1,1,0,0,23,0.579,0,0,1,999,2,3,0.778,1,1,1,Email + SMS,3,1,0.333,66.8,1,6,0,1,0.96,1,6922.12
C000039,45-54,High Potential,Online,Referral,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A04,4,114,High Performer,Watches & Fine Jewelry,Watches,Fashion Styling,1,High Strategic Value,53,5,5,5,9517.87,1.0,47589.35,171577.62,9517.87,1,3,1,10.01,10,30,2,5,7,0,0,37.4,Fashion Preview,1,1,1,0,29,0.38,0,0,0,999,0,1,0.62,1,0,1,Email,1,1,0.2,98.0,1,4,0,1,0.8886,1,5497.13
C000040,35-44,VIP,Boutique,Online Search,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A15,4,181,Emerging,Fashion,Small Leather Goods,Fragrance Discovery,1,Medium Strategic Value,65,3,3,4,14586.46,1.33,43759.38,236679.49,14586.46,5,8,1,11.1,4,24,8,9,4,0,0,24.9,WFJ Appointment Invite,1,0,0,0,29,0.093,1,1,0,108,2,8,0.332,0,1,1,SMS,0,0,0.0,100.0,0,8,1,1,0.9642,1,14064.67
C000041,25-34,High Potential,Omnichannel,Social Media,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A06,7,211,Emerging,Fashion,Accessories,Shoes,1,Medium Strategic Value,38,2,2,3,7405.91,1.5,14811.82,48172.36,7405.91,1,1,0,6.87,16,48,13,4,1,4,1,68.5,No Recent Campaign,0,0,0,0,999,0.278,0,0,0,999,2,5,0.437,0,0,0,Do Not Contact,2,0,0.0,80.9,0,1,0,0,0.8739,1,1618.01
C000042,35-44,Core,Boutique,Boutique Walk-In,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A09,4,290,High Performer,Fragrance & Beauty,Skincare,Fashion Entry,1,Scale Opportunity,94,3,3,6,224.18,2.0,672.54,1852.09,224.18,2,1,0,4.96,2,4,4,15,2,1,0,27.3,Private Event,1,0,0,0,21,0.168,0,1,0,999,0,3,0.427,1,1,1,Email + SMS,2,0,0.0,81.8,0,2,0,0,0.5329,1,119.47
C000043,18-24,New,Boutique,Boutique Walk-In,B001,NYC Flagship,New York,Northeast,Flagship,Tier 1,Advanced,1,88,B001_A10,1,206,Core,Fragrance & Beauty,Skincare,Fine Jewelry Interest,1,Scale Opportunity,20,2,2,4,106.83,2.0,213.66,213.66,106.83,1,0,0,3.72,5,20,2,12,6,0,0,7.7,Fragrance Launch,1,0,0,0,17,0.038,0,0,0,999,0,3,0.354,1,1,1,Email + SMS,0,0,0.0,95.4,0,1,0,0,0.5208,0,55.63
C000044,55-64,High Potential,Online,Event,B010,Digital / E-Commerce,Digital,Digital,Digital,Digital,Digital,0,95,DIGITAL_POOL,0,0,Digital,Fragrance & Beauty,Fragrance,Handbags,1,Scale Opportunity,134,4,4,7,268.63,1.75,1074.52,3724.16,268.63,1,1,0,5.32,20,100,2,7,1,1,1,45.3,WFJ Appointment Invite,1,0,0,0,11,0.15,0,0,0,999,2,1,0.302,1,1,1,Email + SMS,1,0,0.0,82.7,0,3,0,0,0.6314,1,169.62
C000045,25-34,Core,Omnichannel,Event,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A05,3,143,Core,Fashion,Handbags,Fine Jewelry Interest,1,Medium Strategic Value,8,4,4,8,4318.2,2.0,17272.8,45726.54,4318.2,1,2,0,7.09,10,50,6,6,9,4,1,73.0,No Recent Campaign,0,0,0,0,999,0.336,0,0,0,999,1,2,0.622,0,0,0,Do Not Contact,2,0,0.0,79.7,0,0,0,1,0.9282,1,1002.0
C000046,45-54,Core,Online,Social Media,B006,Dallas Boutique,Dallas,South,Mixed Boutique,Tier 2,Developing,1,72,B006_A06,2,76,Core,Watches & Fine Jewelry,Fine Jewelry,Watches,1,High Strategic Value,173,0,0,0,0.0,0.0,0.0,67.01,5085.79,3,2,0,2.38,13,39,4,5,3,1,0,40.7,Beauty Replenishment,1,1,0,1,30,0.204,1,1,1,40,0,1,0.476,1,0,1,Email,1,0,0.0,86.4,0,1,0,1,0.2552,1,1298.04
C000047,25-34,Core,Boutique,Boutique Walk-In,B003,Beverly Hills Boutique,Los Angeles,West,Flagship,Tier 1,Advanced,1,86,B003_A11,3,105,High Performer,Fashion,Handbags,Fragrance Discovery,1,Medium Strategic Value,46,2,2,2,7629.22,1.0,15258.44,39419.62,7629.22,2,2,0,7.01,1,4,9,11,5,0,0,31.3,WFJ Appointment Invite,1,0,0,0,24,0.181,0,0,0,999,1,2,0.334,1,1,1,Email + SMS,0,1,0.5,72.4,0,0,0,0,0.5471,1,4173.57
C000048,35-44,Core,Boutique,Online Search,B004,Miami Design District,Miami,Southeast,Mixed Boutique,Tier 1,Advanced,1,80,B004_A02,0,163,Emerging,Fashion,Ready-to-Wear,Accessories,1,Medium Strategic Value,56,2,2,3,11654.24,1.5,23308.48,55157.41,11654.24,2,1,1,9.04,5,35,11,2,0,0,0,79.4,Fashion Preview,1,1,1,1,28,0.447,0,1,1,999,1,2,0.568,1,0,1,Email,0,0,0.0,100.0,0,2,0,0,0.8718,1,10160.28
C000049,35-44,Core,Omnichannel,Online Search,B005,Chicago Boutique,Chicago,Midwest,Mixed Boutique,Tier 2,Developing,0,70,B005_A09,3,158,Emerging,Fragrance & Beauty,Fragrance,Skincare,1,Scale Opportunity,74,4,4,9,400.95,2.25,1603.8,4188.45,400.95,1,3,0,5.86,7,21,3,3,2,2,1,22.5,Welcome Journey,1,0,0,0,8,0.366,1,1,1,160,3,4,0.224,1,0,1,Email,0,0,0.0,77.3,0,2,0,0,0.796,1,319.16
C000050,25-34,Core,Omnichannel,Social Media,B002,SoHo Boutique,New York,Northeast,Fashion Boutique,Tier 1,Advanced,0,82,B002_A01,6,190,Core,Watches & Fine Jewelry,Watches,None,0,High Strategic Value,263,4,4,6,7683.88,1.5,30735.52,76929.58,7683.88,3,0,1,8.52,12,48,1,5,11,4,1,47.6,Reactivation,1,1,1,0,5,0.302,0,0,0,999,0,6,0.568,1,1,1,Email + SMS,0,0,0.0,78.5,0,1,1,0,0.5969,1,4586.28
